epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65706,1.31658,3.57703,0.01073,0.01712,0.17125,0.05876,0.04245,1.74113,3.71559,0.00689,8.57143e-05,8.57143e-05,0.0915143
2,6.14189,1.23734,2.80653,0.0103,0.02,0.20112,0.06711,0.02705,2.33402,3.70415,0.01054,0.000185709,0.000185709,0.0816143
3,8.50828,1.14011,2.4945,0.01022,0.02028,0.20391,0.07531,0.04069,2.14368,3.68797,0.00935,0.000285683,0.000285683,0.0717143
4,10.8411,1.21919,2.30457,0.01035,0.02278,0.22905,0.08608,0.05677,1.81655,3.6729,0.0076,0.00038562,0.00038562,0.0618142
5,13.2634,1.1853,2.05724,0.01,0.02389,0.24022,0.09925,0.06468,1.70484,3.74687,0.00688,0.000485503,0.000485503,0.0519141
6,15.6234,1.20541,1.98126,0.01033,0.07263,0.26472,0.14093,0.09476,1.63489,3.88313,0.006,0.000585317,0.000585317,0.0420139
7,17.9242,1.06402,1.84393,0.00902,0.07453,0.2948,0.13129,0.09185,1.4944,3.92339,0.00522,0.000685045,0.000685045,0.0321136
8,20.3293,1.04806,1.7476,0.00901,0.09374,0.26193,0.13222,0.09828,1.42295,3.85578,0.00481,0.00078467,0.00078467,0.0222132
9,22.7608,1.10328,1.73927,0.00952,0.10015,0.32617,0.14998,0.09897,1.39303,3.56901,0.00481,0.000884177,0.000884177,0.0123127
10,25.2429,1.00353,1.66966,0.00865,0.09504,0.45552,0.20644,0.15301,1.33016,3.29546,0.00457,0.000983549,0.000983549,0.00241212
11,27.5999,0.93084,1.46124,0.00742,0.0654,0.54362,0.26056,0.19714,1.3402,3.03014,0.00468,0.000997288,0.000997288,0.000997288
12,29.9264,0.94889,1.43253,0.00732,0.06421,0.58487,0.29623,0.21756,1.3645,2.89995,0.00499,0.00099672,0.00099672,0.00099672
13,32.2984,1.00392,1.47116,0.00862,0.07296,0.66459,0.34962,0.24307,1.39596,2.62561,0.00513,0.000996097,0.000996097,0.000996097
14,34.6319,1.0624,1.47503,0.00896,0.47861,0.29076,0.35675,0.24095,1.32348,2.46914,0.00479,0.00099542,0.00099542,0.00099542
15,36.937,0.94545,1.3415,0.00784,0.634,0.39622,0.42866,0.27786,1.36928,2.40243,0.00498,0.00099469,0.00099469,0.00099469
16,39.3429,0.94664,1.35007,0.00759,0.31428,0.45442,0.4218,0.28774,1.42752,2.36084,0.00535,0.000993906,0.000993906,0.000993906
17,41.6843,0.94467,1.30372,0.00778,0.72607,0.22415,0.44347,0.3039,1.39996,2.28337,0.00512,0.000993068,0.000993068,0.000993068
18,44.2015,0.92165,1.19026,0.00764,0.62113,0.26382,0.4841,0.33904,1.34467,2.04652,0.00488,0.000992177,0.000992177,0.000992177
19,46.5979,0.94497,1.22423,0.00791,0.64071,0.3382,0.54342,0.37638,1.35309,1.90739,0.005,0.000991232,0.000991232,0.000991232
20,48.9676,1.02364,1.28487,0.00795,0.66799,0.38178,0.58272,0.39824,1.37902,1.82677,0.00504,0.000990234,0.000990234,0.000990234
21,51.4234,0.93984,1.25892,0.00827,0.65411,0.53047,0.60384,0.39553,1.39098,1.75857,0.00504,0.000989183,0.000989183,0.000989183
22,53.7682,0.92128,1.08104,0.00728,0.65108,0.54171,0.60351,0.41187,1.32219,1.75993,0.00477,0.000988079,0.000988079,0.000988079
23,56.1244,0.93312,1.14456,0.00824,0.71558,0.45561,0.57462,0.4039,1.32801,1.85645,0.0048,0.000986922,0.000986922,0.000986922
24,58.3867,0.88753,1.07011,0.00711,0.74023,0.45359,0.58109,0.40186,1.33039,1.93174,0.00481,0.000985711,0.000985711,0.000985711
25,60.6879,0.86943,1.08969,0.00728,0.68932,0.47388,0.59317,0.39135,1.3172,1.93394,0.00481,0.000984449,0.000984449,0.000984449
26,63.0376,0.86439,1.08563,0.00732,0.63899,0.4598,0.61346,0.3605,1.36737,1.77506,0.00502,0.000983133,0.000983133,0.000983133
27,65.3864,0.79793,1.03673,0.00629,0.60449,0.51404,0.61526,0.33897,1.38782,1.64559,0.00497,0.000981765,0.000981765,0.000981765
28,67.694,0.83426,1.01022,0.00611,0.59278,0.57067,0.58956,0.3405,1.36086,1.57741,0.00491,0.000980345,0.000980345,0.000980345
29,70.1124,0.83747,1.01373,0.00704,0.56549,0.53535,0.56493,0.34542,1.38266,1.41007,0.00498,0.000978873,0.000978873,0.000978873
30,72.4312,0.8845,1.04078,0.00771,0.5698,0.55694,0.5321,0.33225,1.42541,1.42767,0.00516,0.000977349,0.000977349,0.000977349
