epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,105.135,1.1214,0.90645,0.00962,0.66429,0.38505,0.43684,0.22979,1.93705,1.66256,0.00907,0.00955072,0.00955072,0.00955072
43,107.531,1.09012,0.86989,0.01011,0.61917,0.42071,0.38808,0.22907,1.89024,1.81961,0.00803,0.00952889,0.00952889,0.00952889
44,109.794,1.02899,0.83576,0.00895,0.65749,0.38423,0.41173,0.25313,1.83956,1.68076,0.00778,0.00950658,0.00950658,0.00950658
45,112.171,1.10853,0.97313,0.00944,0.68938,0.34379,0.38663,0.23332,1.88488,1.64127,0.00805,0.00948377,0.00948377,0.00948377
46,114.53,1.02098,0.7707,0.00967,0.58,0.42922,0.39555,0.23777,1.89113,1.36583,0.00814,0.00946048,0.00946048,0.00946048
47,116.988,1.2039,1.00434,0.01134,0.60305,0.47937,0.47016,0.26552,1.99752,1.34299,0.00887,0.00943671,0.00943671,0.00943671
48,119.326,1.05783,0.8461,0.00934,0.55475,0.43253,0.43367,0.24452,2.01546,1.52094,0.00889,0.00941245,0.00941245,0.00941245
49,121.659,1.01277,0.74685,0.00834,0.74212,0.39005,0.45708,0.25871,1.93546,1.92699,0.00826,0.00938772,0.00938772,0.00938772
50,123.983,1.06977,0.89722,0.00889,0.67223,0.42662,0.47904,0.27974,1.86777,1.84329,0.00818,0.00936251,0.00936251,0.00936251
51,126.278,1.05157,0.80674,0.00954,0.63225,0.47374,0.51236,0.27548,1.94518,1.68977,0.00804,0.00933683,0.00933683,0.00933683
52,128.577,1.05972,0.87949,0.00894,0.57342,0.41813,0.38925,0.24152,1.94408,1.70345,0.00797,0.00931067,0.00931067,0.00931067
53,130.967,1.13045,0.85523,0.00924,0.66117,0.26038,0.3303,0.1957,2.01891,1.83734,0.00865,0.00928405,0.00928405,0.00928405
54,133.262,1.0605,0.75496,0.00892,0.53974,0.39622,0.35124,0.20125,2.18642,1.53946,0.00967,0.00925697,0.00925697,0.00925697
55,135.616,1.14662,0.88115,0.01024,0.51262,0.31865,0.27279,0.15514,2.06898,1.90914,0.00935,0.00922942,0.00922942,0.00922942
56,137.976,1.11014,0.79381,0.00947,0.54751,0.28796,0.27151,0.15573,2.09255,1.90902,0.00969,0.00920142,0.00920142,0.00920142
57,140.32,1.01127,0.79399,0.00816,0.58026,0.35828,0.33825,0.18039,2.06819,1.76255,0.00929,0.00917296,0.00917296,0.00917296
58,142.745,1.01085,0.77623,0.00828,0.599,0.41856,0.39086,0.2019,1.90445,1.43796,0.00867,0.00914405,0.00914405,0.00914405
59,145.077,1.0786,0.79777,0.00907,0.81269,0.39076,0.44908,0.23482,2.11611,1.47175,0.00961,0.00911469,0.00911469,0.00911469
60,147.393,1.06536,0.84083,0.00903,0.82166,0.31027,0.41227,0.20751,2.14303,1.70687,0.00974,0.00908488,0.00908488,0.00908488
61,149.674,1.04591,0.85595,0.0093,0.50813,0.49327,0.45568,0.26036,1.97554,1.51265,0.0083,0.00905463,0.00905463,0.00905463
62,151.987,0.98422,0.74159,0.00827,0.51847,0.49055,0.44601,0.24954,1.97505,1.44111,0.00852,0.00902395,0.00902395,0.00902395
63,154.454,0.99496,0.7789,0.00883,0.69978,0.38692,0.42707,0.22298,1.93808,1.38031,0.00855,0.00899282,0.00899282,0.00899282
64,156.736,0.99468,0.79043,0.00824,0.65461,0.38897,0.39375,0.20298,2.02708,1.43085,0.00921,0.00896127,0.00896127,0.00896127
65,159.048,1.05577,0.90054,0.00961,0.66653,0.24388,0.29879,0.1569,2.19545,1.63553,0.01072,0.00892928,0.00892928,0.00892928
66,161.405,1.05574,0.81946,0.00925,0.34859,0.28728,0.2366,0.13481,2.30907,1.88129,0.01132,0.00889687,0.00889687,0.00889687
67,163.813,1.08702,0.84564,0.00981,0.66349,0.42909,0.39036,0.23452,1.95377,2.08437,0.0081,0.00886404,0.00886404,0.00886404
68,166.293,1.06389,0.78714,0.01011,0.68367,0.38269,0.37652,0.23996,1.9237,2.33266,0.00775,0.00883079,0.00883079,0.00883079
69,168.611,1.02168,0.81016,0.0096,0.72503,0.43038,0.44037,0.277,1.82874,1.71081,0.00726,0.00879713,0.00879713,0.00879713
70,170.938,1.01889,0.79122,0.00901,0.70486,0.46629,0.42948,0.26386,1.88001,1.19382,0.00821,0.00876305,0.00876305,0.00876305
71,173.42,0.95828,0.68427,0.00773,0.66827,0.45975,0.4235,0.24504,1.88709,1.2594,0.00854,0.00872857,0.00872857,0.00872857
72,175.749,0.99452,0.70614,0.00914,0.68115,0.45144,0.39798,0.23011,1.93468,1.28069,0.00912,0.00869368,0.00869368,0.00869368
73,178.14,0.95027,0.73192,0.00836,0.59264,0.46261,0.41741,0.2221,2.11082,1.38212,0.01006,0.00865839,0.00865839,0.00865839
74,180.441,0.96902,0.69927,0.00847,0.54581,0.44585,0.42642,0.24396,2.01306,1.4161,0.00943,0.00862271,0.00862271,0.00862271
75,182.832,1.0208,0.7562,0.00834,0.62856,0.35217,0.40278,0.20198,2.14904,1.50255,0.01056,0.00858664,0.00858664,0.00858664
76,185.202,1.07895,0.85916,0.01,0.56226,0.35894,0.37258,0.19756,2.08511,1.45565,0.01023,0.00855018,0.00855018,0.00855018
77,187.657,1.03877,0.74852,0.009,0.66634,0.4263,0.41156,0.1844,2.05225,1.53945,0.0097,0.00851333,0.00851333,0.00851333
78,190.01,0.96902,0.71603,0.00834,0.59305,0.48152,0.46665,0.24656,1.92006,1.3662,0.00858,0.00847611,0.00847611,0.00847611
79,192.399,0.88216,0.64661,0.00718,0.52246,0.55148,0.49877,0.22275,1.9382,1.27556,0.00902,0.00843851,0.00843851,0.00843851
80,194.7,0.93026,0.72319,0.00774,0.74887,0.32424,0.42288,0.22341,1.98308,1.24116,0.00921,0.00840054,0.00840054,0.00840054
81,196.983,0.96224,0.6837,0.00822,0.60274,0.39128,0.4384,0.23745,1.9353,1.15251,0.00889,0.0083622,0.0083622,0.0083622
82,199.373,0.93894,0.6439,0.00782,0.49758,0.62066,0.5094,0.2536,1.81935,1.06311,0.00784,0.00832349,0.00832349,0.00832349
83,201.678,0.99203,0.67555,0.00849,0.74106,0.38225,0.49405,0.22401,2.00984,1.13941,0.00911,0.00828443,0.00828443,0.00828443
84,203.982,0.9409,0.66366,0.00809,0.50924,0.47614,0.40497,0.20814,2.10773,1.28416,0.00969,0.00824502,0.00824502,0.00824502
85,206.348,0.89845,0.62654,0.00759,0.53937,0.34379,0.38685,0.20376,2.18294,1.6218,0.01011,0.00820525,0.00820525,0.00820525
86,208.754,0.91494,0.66879,0.00804,0.51446,0.47164,0.46969,0.25463,1.95337,1.30868,0.00827,0.00816514,0.00816514,0.00816514
87,211.145,0.98643,0.68067,0.00963,0.51092,0.50545,0.47363,0.25967,1.98793,1.27079,0.00848,0.00812468,0.00812468,0.00812468
88,213.49,0.90722,0.63127,0.00768,0.62226,0.41792,0.46723,0.24471,2.04772,1.49971,0.00893,0.00808389,0.00808389,0.00808389
89,215.801,0.96985,0.68416,0.00744,0.60104,0.41018,0.43134,0.25887,1.95092,1.54464,0.00831,0.00804277,0.00804277,0.00804277
90,218.236,0.90428,0.61765,0.00781,0.64129,0.42415,0.43988,0.26611,1.92673,1.60206,0.00863,0.00800131,0.00800131,0.00800131
