epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14627,1.18595,3.68567,0.00866,0.0034,0.47115,0.09702,0.04947,1.80677,3.77322,0.00749,0.00075,0.00075,0.09325
2,9.40716,1.68525,3.35446,0.01358,0.00097,0.13462,0.0027,0.00063,2.44705,3.87214,0.01265,0.00174957,0.00174957,0.0842496
3,13.3479,1.75104,2.81395,0.01571,0.01479,0.14874,0.03626,0.0127,2.37288,3.73358,0.01136,0.00274731,0.00274731,0.0752473
4,17.8542,1.52459,2.35254,0.01336,0.01549,0.15573,0.04727,0.01545,2.63868,3.78043,0.01413,0.00374176,0.00374176,0.0662418
5,21.8197,1.694,2.11183,0.01483,0.01246,0.11227,0.01268,0.00305,2.92304,4.07035,0.01624,0.00473146,0.00473146,0.0572315
6,30.3321,1.66392,1.99659,0.01458,0.01223,0.11017,0.01253,0.00286,2.93208,4.06967,0.01642,0.00571496,0.00571496,0.048215
7,37.2331,1.73311,1.96144,0.01593,0.01223,0.11017,0.01253,0.00286,2.93208,4.06967,0.01642,0.00669082,0.00669082,0.0391908
8,43.9699,1.76044,2.08695,0.01584,0.01223,0.11017,0.01253,0.00286,2.93208,4.06967,0.01642,0.00765761,0.00765761,0.0301576
9,51.343,1.69228,2.01291,0.01578,0.01223,0.11017,0.01253,0.00286,2.93208,4.06967,0.01642,0.00861393,0.00861393,0.0211139
