epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,101.008,0.79866,0.90384,0.00634,0.7002,0.47236,0.58582,0.43233,1.32282,1.49947,0.00455,0.000643101,0.000643101,0.000643101
43,103.3,0.75239,0.87438,0.00616,0.72798,0.46541,0.56044,0.41462,1.30982,1.51631,0.00445,0.000628101,0.000628101,0.000628101
44,105.623,0.80334,0.88235,0.00635,0.76685,0.45049,0.55534,0.41249,1.31845,1.49853,0.00448,0.000612981,0.000612981,0.000612981
45,108.019,0.76282,0.86016,0.00647,0.65412,0.47094,0.52738,0.39084,1.34275,1.44893,0.00462,0.000597754,0.000597754,0.000597754
46,110.341,0.72831,0.80832,0.00571,0.56891,0.4237,0.51294,0.37829,1.33189,1.37576,0.00452,0.000582435,0.000582435,0.000582435
47,112.741,0.82603,0.9047,0.00643,0.67258,0.47976,0.54063,0.39603,1.3384,1.31218,0.00449,0.00056704,0.00056704,0.00056704
48,115.111,0.70551,0.7566,0.00595,0.68993,0.52459,0.56331,0.40895,1.35602,1.28806,0.00455,0.000551584,0.000551584,0.000551584
49,117.473,0.85578,0.95796,0.0073,0.70988,0.48281,0.59328,0.4327,1.34882,1.23939,0.0046,0.000536081,0.000536081,0.000536081
50,119.939,0.71464,0.78056,0.00568,0.72932,0.45263,0.56185,0.39864,1.36282,1.27697,0.00474,0.000520548,0.000520548,0.000520548
51,122.258,0.67434,0.72604,0.00508,0.64656,0.41856,0.51958,0.3642,1.40589,1.36412,0.00511,0.000505,0.000505,0.000505
52,124.618,0.73798,0.82982,0.00555,0.65611,0.41018,0.53506,0.367,1.41381,1.38901,0.00508,0.000489452,0.000489452,0.000489452
53,126.997,0.74059,0.79976,0.00597,0.66388,0.41457,0.54029,0.38797,1.35949,1.40088,0.00478,0.000473919,0.000473919,0.000473919
54,129.341,0.73213,0.81654,0.00548,0.64551,0.48217,0.54484,0.39764,1.35393,1.39019,0.00469,0.000458416,0.000458416,0.000458416
55,131.745,0.7279,0.76466,0.00553,0.59709,0.43499,0.53142,0.38955,1.36227,1.40677,0.00466,0.00044296,0.00044296,0.00044296
56,134.098,0.69625,0.69918,0.00528,0.70867,0.38364,0.52483,0.38418,1.37063,1.4119,0.00473,0.000427565,0.000427565,0.000427565
57,136.461,0.74087,0.77442,0.00614,0.73747,0.38151,0.52436,0.37695,1.39472,1.39007,0.00491,0.000412246,0.000412246,0.000412246
58,138.835,0.73571,0.76871,0.00563,0.56095,0.46046,0.52128,0.37973,1.39891,1.36955,0.00487,0.000397019,0.000397019,0.000397019
59,141.231,0.69278,0.72623,0.00505,0.52174,0.50718,0.50622,0.37099,1.37016,1.32771,0.0048,0.000381899,0.000381899,0.000381899
60,143.558,0.68547,0.71626,0.00513,0.51489,0.57091,0.52264,0.38136,1.35988,1.29678,0.00475,0.000366899,0.000366899,0.000366899
61,146.008,0.70951,0.76854,0.00544,0.54978,0.54856,0.50331,0.36058,1.33422,1.27662,0.00461,0.000352037,0.000352037,0.000352037
