epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49348,1.36831,3.0759,0.01176,0.00708,0.07123,0.00778,0.00323,2.38508,4.31235,0.01634,0.000923077,0.000923077,0.0916923
2,7.50921,1.24206,2.17442,0.01046,0.01514,0.15223,0.07021,0.04523,1.73162,3.78926,0.00942,0.00192261,0.00192261,0.0826918
3,10.2995,1.37189,1.97959,0.01166,0.03217,0.31913,0.10922,0.06489,1.69114,3.64067,0.00882,0.00292022,0.00292022,0.0736895
4,13.1461,1.26062,1.58972,0.01073,0.03111,0.37613,0.10219,0.05926,2.01087,3.44747,0.0118,0.00391446,0.00391446,0.0646837
5,15.9578,1.32422,1.58222,0.01185,0.04714,0.54163,0.14489,0.07841,2.08828,2.99148,0.01147,0.00490386,0.00490386,0.0556731
6,18.7689,1.38957,1.48783,0.0131,0.07942,0.40809,0.14824,0.0726,2.17491,2.84688,0.01306,0.00588698,0.00588698,0.0466562
7,21.425,1.48426,1.60529,0.01447,0.53221,0.14355,0.19291,0.09107,2.13695,2.53275,0.01199,0.00686238,0.00686238,0.0376316
8,24.3057,1.4316,1.51153,0.01308,0.52352,0.17455,0.21945,0.10311,2.18526,2.3479,0.01276,0.00782862,0.00782862,0.0285979
9,27.1212,1.41864,1.46443,0.01342,0.37307,0.18667,0.17636,0.1001,2.05129,2.03251,0.01114,0.00878431,0.00878431,0.0195535
10,29.9305,1.37061,1.37957,0.01197,0.38794,0.27766,0.23939,0.10569,2.13081,1.9003,0.01227,0.00972804,0.00972804,0.0104973
11,32.556,1.28786,1.28568,0.01127,0.24122,0.21492,0.18849,0.07944,2.14463,2.11974,0.01365,0.00975773,0.00975773,0.00975773
12,35.8999,1.36718,1.30637,0.01205,0.26515,0.24764,0.21336,0.10753,2.10321,1.92422,0.01297,0.00970736,0.00970736,0.00970736
13,38.8704,1.46807,1.43217,0.01235,0.55914,0.26794,0.24873,0.13252,2.06109,1.81565,0.01196,0.00965239,0.00965239,0.00965239
14,41.6382,1.32933,1.19687,0.01228,0.51645,0.304,0.29302,0.14305,1.99622,1.68461,0.01134,0.00959289,0.00959289,0.00959289
15,44.2693,1.22396,1.11607,0.01046,0.49737,0.33955,0.35369,0.15195,1.95821,1.62644,0.01153,0.00952889,0.00952889,0.00952889
16,47.245,1.21838,1.152,0.01076,0.44008,0.3514,0.32765,0.15998,1.93723,1.6388,0.01151,0.00946048,0.00946048,0.00946048
17,50.0656,1.24079,1.09779,0.01103,0.63942,0.29485,0.3244,0.15722,2.00073,1.71697,0.01222,0.00938772,0.00938772,0.00938772
18,52.9543,1.31948,1.22376,0.01183,0.48626,0.35292,0.27539,0.1506,2.05357,2.02338,0.01253,0.00931067,0.00931067,0.00931067
19,55.7936,1.26726,1.11476,0.01099,0.4695,0.26762,0.25289,0.15135,2.0454,1.99508,0.01163,0.00922942,0.00922942,0.00922942
20,58.5796,1.19155,1.04537,0.01113,0.4156,0.30565,0.24704,0.13679,2.01326,1.82318,0.01118,0.00914405,0.00914405,0.00914405
21,61.409,1.2255,1.08345,0.01073,0.56872,0.35901,0.36498,0.2022,2.03233,1.70745,0.01199,0.00905463,0.00905463,0.00905463
22,64.3417,1.14869,0.96076,0.01015,0.59375,0.36109,0.35812,0.21187,1.86954,1.68405,0.01051,0.00896127,0.00896127,0.00896127
