epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.766,0.63707,0.55839,0.99514,0.34283,0.26343,0.22169,0.1326,1.69112,1.84576,1.29358,0.00166016,0.00166016,0.00166016
43,80.6015,0.62149,0.51511,0.95806,0.70221,0.33477,0.3362,0.22959,1.41323,1.54486,1.16587,0.00165983,0.00165983,0.00165983
44,82.4357,0.70036,0.6051,1.04827,0.58844,0.28487,0.22087,0.1346,1.60592,2.11211,1.26704,0.00165948,0.00165948,0.00165948
45,84.2985,0.62138,0.5624,1.00799,0.23951,0.15728,0.15077,0.07858,1.89976,2.88245,1.46513,0.00165913,0.00165913,0.00165913
46,86.1814,0.65873,0.575,1.01201,0.54887,0.32815,0.43797,0.25256,1.70681,1.96236,1.28615,0.00165877,0.00165877,0.00165877
47,88.02,0.63165,0.55135,0.98304,0.54994,0.50392,0.51199,0.30526,1.51004,1.42812,1.17575,0.0016584,0.0016584,0.0016584
48,89.8696,0.60283,0.53548,0.991,0.51465,0.58379,0.53494,0.29738,1.5415,1.34555,1.16346,0.00165802,0.00165802,0.00165802
49,92.0678,0.59006,0.51031,0.99792,0.63343,0.51674,0.54708,0.31723,1.3619,1.18378,1.06929,0.00165764,0.00165764,0.00165764
50,93.9109,0.615,0.54027,0.979,0.82696,0.38505,0.52441,0.30485,1.3802,1.21656,1.08431,0.00165724,0.00165724,0.00165724
51,95.7262,0.60653,0.51694,0.97167,0.72309,0.38963,0.46083,0.30512,1.40391,1.20795,1.11233,0.00165684,0.00165684,0.00165684
52,97.5508,0.54737,0.4693,0.93445,0.75652,0.38096,0.49831,0.29399,1.37677,1.12526,1.09952,0.00165643,0.00165643,0.00165643
53,99.3773,0.67125,0.55369,1.02848,0.66,0.41018,0.53809,0.26906,1.61254,1.10585,1.26565,0.00165601,0.00165601,0.00165601
54,101.183,0.59639,0.51608,0.97467,0.53895,0.59261,0.55188,0.27671,1.59343,1.18078,1.24663,0.00165559,0.00165559,0.00165559
55,103.015,0.62552,0.51399,0.95572,0.57266,0.55296,0.57353,0.33069,1.53524,1.07021,1.21683,0.00165515,0.00165515,0.00165515
56,104.902,0.63934,0.53425,0.98358,0.64795,0.53245,0.57161,0.35101,1.19942,0.86799,1.00916,0.00165471,0.00165471,0.00165471
57,106.792,0.56731,0.46058,0.95385,0.72059,0.41577,0.55088,0.33305,1.24078,0.92906,1.03601,0.00165426,0.00165426,0.00165426
58,108.645,0.64097,0.56192,0.99087,0.51879,0.52444,0.49731,0.30141,1.31797,1.04392,1.05936,0.00165381,0.00165381,0.00165381
59,110.477,0.59479,0.49391,0.94122,0.58607,0.51848,0.54527,0.33184,1.33836,0.93484,1.0744,0.00165334,0.00165334,0.00165334
60,112.335,0.60144,0.4876,0.98946,0.75262,0.41362,0.51744,0.32092,1.34058,0.88341,1.08484,0.00165287,0.00165287,0.00165287
61,114.174,0.57727,0.47654,0.95611,0.68904,0.36114,0.46856,0.26012,1.31455,1.08058,1.1066,0.00165238,0.00165238,0.00165238
62,116.002,0.58562,0.48229,0.95805,0.50783,0.47314,0.46258,0.22662,1.48941,1.29343,1.18587,0.00165189,0.00165189,0.00165189
63,117.817,0.53474,0.44925,0.9385,0.63588,0.47379,0.56767,0.29182,1.36604,1.10743,1.08415,0.0016514,0.0016514,0.0016514
64,119.612,0.53938,0.46253,0.92879,0.7643,0.65735,0.69687,0.34052,1.29763,0.88394,1.03825,0.00165089,0.00165089,0.00165089
65,121.446,0.63112,0.50306,0.95205,0.83116,0.54856,0.65843,0.32073,1.36826,0.90937,1.08524,0.00165038,0.00165038,0.00165038
66,123.254,0.53539,0.44444,0.93354,0.59881,0.49893,0.54908,0.30962,1.49043,1.19506,1.14634,0.00164986,0.00164986,0.00164986
67,125.074,0.58495,0.46254,0.9504,0.75437,0.37667,0.43916,0.2282,1.69835,1.41714,1.2167,0.00164933,0.00164933,0.00164933
68,126.917,0.55939,0.46747,0.96588,0.5866,0.45743,0.4553,0.24561,1.53463,1.14033,1.17594,0.00164879,0.00164879,0.00164879
69,128.778,0.54563,0.43662,0.9415,0.5447,0.46106,0.5119,0.27694,1.46043,1.03439,1.14226,0.00164824,0.00164824,0.00164824
