epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,317.94,0.43041,0.3105,0.88306,0.61305,0.61892,0.55987,0.23403,1.578,1.10385,1.23764,0.00155077,0.00155077,0.00155077
173,319.758,0.42482,0.32732,0.873,0.61447,0.44953,0.41804,0.19116,1.59114,1.33777,1.22583,0.00154944,0.00154944,0.00154944
174,321.648,0.41439,0.31137,0.86965,0.69429,0.40869,0.4614,0.1929,1.69541,1.5493,1.27934,0.0015481,0.0015481,0.0015481
175,323.515,0.4027,0.30726,0.87916,0.62222,0.48152,0.40496,0.20935,1.61622,1.53414,1.2229,0.00154675,0.00154675,0.00154675
176,325.376,0.41679,0.3161,0.87025,0.54356,0.43595,0.35586,0.21004,1.55208,1.49486,1.19513,0.0015454,0.0015454,0.0015454
177,327.2,0.39272,0.29669,0.86282,0.58577,0.48729,0.41633,0.24128,1.5236,1.41348,1.18785,0.00154405,0.00154405,0.00154405
178,329.016,0.40726,0.30791,0.86792,0.68382,0.4899,0.52187,0.31259,1.37529,1.20734,1.11241,0.00154268,0.00154268,0.00154268
179,330.827,0.41614,0.30998,0.89548,0.59018,0.60725,0.5494,0.30951,1.35621,1.07374,1.08332,0.00154131,0.00154131,0.00154131
180,332.647,0.43003,0.32292,0.89646,0.60366,0.6078,0.54726,0.31727,1.34578,1.0715,1.08473,0.00153993,0.00153993,0.00153993
181,334.475,0.40095,0.30392,0.86847,0.63749,0.55681,0.5523,0.30167,1.42319,1.16776,1.1278,0.00153854,0.00153854,0.00153854
182,336.269,0.423,0.31343,0.89665,0.58939,0.64439,0.5764,0.3004,1.42671,1.20872,1.14847,0.00153715,0.00153715,0.00153715
183,338.096,0.37081,0.29567,0.87426,0.72388,0.60682,0.59486,0.29928,1.40295,1.06022,1.15595,0.00153575,0.00153575,0.00153575
184,339.97,0.47926,0.37247,0.96309,0.57267,0.54577,0.50599,0.2982,1.34641,1.0106,1.12978,0.00153435,0.00153435,0.00153435
185,341.834,0.45879,0.33392,0.8942,0.50969,0.51783,0.50224,0.28006,1.44051,1.21643,1.22452,0.00153293,0.00153293,0.00153293
186,343.647,0.38276,0.29448,0.86568,0.69921,0.41991,0.48333,0.26336,1.50286,1.31865,1.28443,0.00153151,0.00153151,0.00153151
187,345.718,0.40708,0.31544,0.86576,0.64943,0.40068,0.42075,0.22017,1.62393,1.4555,1.37782,0.00153009,0.00153009,0.00153009
188,347.548,0.37623,0.28924,0.86728,0.65552,0.40395,0.42602,0.20857,1.65514,1.38461,1.39314,0.00152865,0.00152865,0.00152865
189,349.387,0.42363,0.32051,0.87835,0.58061,0.4899,0.43444,0.2234,1.59312,1.11224,1.39472,0.00152721,0.00152721,0.00152721
190,351.235,0.44947,0.48577,0.90392,0.72068,0.44585,0.46296,0.23763,1.49775,1.04112,1.3099,0.00152577,0.00152577,0.00152577
191,353.045,0.41458,0.3157,0.88786,0.67971,0.46755,0.45263,0.21358,1.49648,1.22451,1.28518,0.00152431,0.00152431,0.00152431
192,354.831,0.42761,0.32567,0.90716,0.68529,0.46476,0.46524,0.23418,1.51683,1.26013,1.26053,0.00152285,0.00152285,0.00152285
193,356.638,0.45801,0.33283,0.90346,0.67709,0.56682,0.50036,0.28342,1.43697,1.21915,1.23278,0.00152139,0.00152139,0.00152139
194,358.454,0.41931,0.31973,0.88805,0.72629,0.48731,0.52826,0.3045,1.43214,1.14737,1.23774,0.00151991,0.00151991,0.00151991
195,360.333,0.3939,0.30157,0.87621,0.70523,0.53674,0.53654,0.29881,1.40351,1.08772,1.21991,0.00151843,0.00151843,0.00151843
196,362.186,0.39041,0.29546,0.86662,0.52534,0.50945,0.43099,0.24024,1.48364,1.09901,1.24854,0.00151694,0.00151694,0.00151694
197,364.01,0.40891,0.30723,0.88369,0.5412,0.48489,0.49323,0.2713,1.45858,1.06435,1.23659,0.00151545,0.00151545,0.00151545
198,365.858,0.47991,0.35267,0.91538,0.59374,0.47937,0.41678,0.22325,1.49567,1.16001,1.25298,0.00151395,0.00151395,0.00151395
199,367.691,0.37589,0.29088,0.86846,0.70298,0.43468,0.46014,0.21476,1.64864,1.42382,1.35888,0.00151244,0.00151244,0.00151244
200,369.807,0.41685,0.30634,0.86796,0.59381,0.40954,0.41102,0.22122,1.68496,1.48949,1.3744,0.00151093,0.00151093,0.00151093
201,371.633,0.39974,0.29597,0.88044,0.6201,0.41765,0.41792,0.22334,1.57331,1.3013,1.28952,0.00150941,0.00150941,0.00150941
202,373.452,0.44509,0.30777,0.89117,0.52708,0.38784,0.35338,0.21065,1.54775,1.17,1.27756,0.00150788,0.00150788,0.00150788
203,375.282,0.38722,0.30192,0.87309,0.37733,0.41298,0.31534,0.18687,1.6794,1.32672,1.31572,0.00150635,0.00150635,0.00150635
204,377.142,0.38629,0.30049,0.86646,0.35786,0.23893,0.23979,0.13843,1.97569,1.74728,1.43289,0.00150481,0.00150481,0.00150481
205,378.996,0.41564,0.30068,0.87778,0.5913,0.32703,0.34468,0.15015,1.95701,1.61744,1.42443,0.00150326,0.00150326,0.00150326
206,380.847,0.41247,0.29745,0.88613,0.6832,0.34495,0.39617,0.20628,1.6695,1.28956,1.27432,0.00150171,0.00150171,0.00150171
207,382.677,0.46097,0.33229,0.92569,0.6011,0.42136,0.4308,0.22289,1.55507,1.05569,1.21349,0.00150015,0.00150015,0.00150015
208,384.5,0.39502,0.29311,0.8767,0.58142,0.49442,0.49123,0.25242,1.41461,0.93656,1.16179,0.00149858,0.00149858,0.00149858
209,386.35,0.39011,0.29254,0.89004,0.68244,0.48332,0.50038,0.28067,1.34982,0.93521,1.10675,0.00149701,0.00149701,0.00149701
210,388.217,0.39659,0.2944,0.86003,0.57915,0.60657,0.52002,0.29269,1.26106,0.84645,1.06242,0.00149543,0.00149543,0.00149543
211,390.047,0.39972,0.30565,0.87689,0.72286,0.46365,0.52564,0.30394,1.35453,0.86946,1.10858,0.00149384,0.00149384,0.00149384
212,391.848,0.38126,0.2878,0.87144,0.7491,0.48605,0.62784,0.30217,1.34396,0.85754,1.12882,0.00149225,0.00149225,0.00149225
213,393.746,0.39182,0.30851,0.86756,0.74299,0.51296,0.62004,0.29469,1.36891,0.85553,1.14825,0.00149065,0.00149065,0.00149065
214,395.543,0.42052,0.33265,0.88379,0.75665,0.40245,0.50218,0.28812,1.34638,0.88935,1.15295,0.00148905,0.00148905,0.00148905
215,397.357,0.40987,0.302,0.86769,0.76231,0.39686,0.48483,0.29366,1.3663,0.93307,1.15955,0.00148744,0.00148744,0.00148744
216,399.172,0.42576,0.31812,0.90073,0.62739,0.4856,0.4674,0.29141,1.33512,0.89275,1.15692,0.00148582,0.00148582,0.00148582
217,400.987,0.36715,0.2848,0.86201,0.62546,0.47443,0.44229,0.29758,1.33522,0.87616,1.14747,0.00148419,0.00148419,0.00148419
218,402.816,0.35312,0.28588,0.85161,0.62799,0.46699,0.44721,0.29604,1.26612,0.89085,1.1158,0.00148256,0.00148256,0.00148256
219,404.663,0.37505,0.28483,0.85797,0.61792,0.41083,0.44395,0.25038,1.40488,1.06451,1.17731,0.00148093,0.00148093,0.00148093
220,406.51,0.4097,0.30657,0.8907,0.5154,0.36957,0.36564,0.20072,1.45539,1.1615,1.21238,0.00147928,0.00147928,0.00147928
221,408.363,0.3957,0.29477,0.87523,0.44262,0.41465,0.35697,0.20684,1.4254,1.0846,1.19325,0.00147764,0.00147764,0.00147764
222,410.184,0.52203,0.43224,0.94219,0.60571,0.41837,0.40938,0.22651,1.37069,1.00703,1.1424,0.00147598,0.00147598,0.00147598
223,412.016,0.40917,0.31506,0.8775,0.72425,0.33047,0.39821,0.23636,1.43194,1.17025,1.17342,0.00147432,0.00147432,0.00147432
224,413.873,0.42034,0.30885,0.89264,0.70051,0.3555,0.42858,0.2215,1.58037,1.5662,1.24839,0.00147265,0.00147265,0.00147265
225,415.704,0.40845,0.29511,0.8519,0.7005,0.34459,0.39694,0.2087,1.62075,1.73816,1.27712,0.00147098,0.00147098,0.00147098
226,417.582,0.39072,0.2945,0.85895,0.70878,0.42018,0.4333,0.23768,1.54471,1.53819,1.24008,0.0014693,0.0014693,0.0014693
227,419.398,0.39415,0.29559,0.85755,0.70518,0.47002,0.45482,0.24114,1.52677,1.37084,1.21617,0.00146761,0.00146761,0.00146761
228,421.212,0.38536,0.28266,0.87155,0.72514,0.49893,0.47767,0.27524,1.40024,1.19591,1.14803,0.00146592,0.00146592,0.00146592
229,423.05,0.4248,0.32937,0.89458,0.7097,0.49398,0.49614,0.31385,1.33611,0.91114,1.10797,0.00146422,0.00146422,0.00146422
230,424.879,0.3788,0.29592,0.86784,0.73335,0.49119,0.5437,0.33436,1.25732,0.82871,1.06001,0.00146251,0.00146251,0.00146251
231,426.709,0.36086,0.28077,0.86511,0.66647,0.552,0.54174,0.317,1.28217,0.83331,1.07069,0.0014608,0.0014608,0.0014608
232,428.522,0.3942,0.27846,0.87634,0.69122,0.51569,0.54635,0.31967,1.28301,0.82911,1.07346,0.00145908,0.00145908,0.00145908
233,430.363,0.40491,0.30141,0.86087,0.68466,0.55272,0.60759,0.32091,1.26652,0.87221,1.07353,0.00145736,0.00145736,0.00145736
234,432.199,0.37149,0.28018,0.85474,0.65134,0.56085,0.58258,0.29678,1.29044,0.97093,1.09299,0.00145563,0.00145563,0.00145563
235,434.04,0.37882,0.28478,0.85921,0.64511,0.50742,0.52424,0.27698,1.393,1.29871,1.16071,0.00145389,0.00145389,0.00145389
236,435.935,0.35283,0.26431,0.85822,0.73189,0.48131,0.49133,0.2326,1.59336,1.56878,1.27172,0.00145215,0.00145215,0.00145215
237,437.794,0.40998,0.29321,0.86975,0.61145,0.47865,0.47352,0.25295,1.55031,1.50356,1.25961,0.00145041,0.00145041,0.00145041
238,439.591,0.37362,0.28773,0.85215,0.64005,0.45144,0.50209,0.28213,1.40326,1.24485,1.15354,0.00144865,0.00144865,0.00144865
239,441.403,0.36744,0.2779,0.85336,0.58115,0.53366,0.51627,0.29406,1.33206,0.98212,1.1485,0.00144689,0.00144689,0.00144689
240,443.213,0.38033,0.28724,0.87256,0.61319,0.54266,0.54408,0.28959,1.36588,0.88581,1.1985,0.00144513,0.00144513,0.00144513
241,445.057,0.38058,0.28688,0.84812,0.56596,0.71917,0.59316,0.2983,1.37405,0.88903,1.20195,0.00144335,0.00144335,0.00144335
242,446.898,0.35684,0.27404,0.85266,0.60066,0.66115,0.59643,0.33102,1.33126,0.8861,1.12343,0.00144158,0.00144158,0.00144158
243,448.745,0.36474,0.27892,0.86274,0.5772,0.66115,0.56506,0.30676,1.3186,0.91649,1.10798,0.00143979,0.00143979,0.00143979
244,450.551,0.37042,0.27868,0.8606,0.64935,0.61943,0.57317,0.30546,1.32986,0.94448,1.11863,0.001438,0.001438,0.001438
245,452.377,0.37862,0.29192,0.86539,0.65848,0.65418,0.65314,0.34558,1.29312,0.92004,1.11046,0.00143621,0.00143621,0.00143621
246,454.212,0.35665,0.2758,0.85824,0.59054,0.59889,0.59383,0.35721,1.25204,0.80928,1.07845,0.00143441,0.00143441,0.00143441
247,456.022,0.38277,0.28761,0.86432,0.63318,0.57091,0.58854,0.38227,1.22066,0.79768,1.04002,0.0014326,0.0014326,0.0014326
248,457.825,0.37388,0.2884,0.86072,0.69534,0.55973,0.58434,0.3629,1.25253,0.78617,1.04766,0.00143079,0.00143079,0.00143079
249,459.66,0.40675,0.29805,0.88008,0.66026,0.56532,0.59205,0.37756,1.27525,0.82788,1.06609,0.00142897,0.00142897,0.00142897
250,461.47,0.40845,0.301,0.85514,0.6977,0.60649,0.61763,0.36273,1.30927,0.85959,1.09556,0.00142714,0.00142714,0.00142714
251,463.296,0.36309,0.27054,0.85803,0.70801,0.56691,0.59152,0.3478,1.35903,0.87014,1.15184,0.00142531,0.00142531,0.00142531
252,465.135,0.36595,0.27287,0.87301,0.76489,0.63375,0.62864,0.35509,1.31154,0.84986,1.13453,0.00142348,0.00142348,0.00142348
253,466.969,0.36317,0.2786,0.87216,0.74071,0.66409,0.59125,0.34051,1.37169,0.8902,1.16826,0.00142164,0.00142164,0.00142164
254,468.791,0.36626,0.28036,0.84666,0.76604,0.6416,0.59726,0.31064,1.35058,0.91091,1.15261,0.00141979,0.00141979,0.00141979
255,470.633,0.38527,0.27985,0.86207,0.71056,0.6199,0.58476,0.30565,1.39176,0.91994,1.15994,0.00141794,0.00141794,0.00141794
256,472.461,0.37955,0.2768,0.88177,0.61546,0.69467,0.55214,0.3093,1.37267,0.87907,1.1606,0.00141608,0.00141608,0.00141608
257,474.284,0.38833,0.29525,0.87527,0.63097,0.56168,0.56514,0.32847,1.30447,0.80388,1.13401,0.00141421,0.00141421,0.00141421
258,476.102,0.35264,0.27063,0.849,0.76394,0.50731,0.59725,0.34842,1.30958,0.77431,1.13988,0.00141234,0.00141234,0.00141234
259,477.927,0.32721,0.25563,0.84801,0.7814,0.55135,0.54595,0.33234,1.31857,0.80562,1.15098,0.00141047,0.00141047,0.00141047
260,479.767,0.33128,0.26363,0.84462,0.74772,0.55038,0.58838,0.35403,1.30508,0.76038,1.15607,0.00140859,0.00140859,0.00140859
261,481.571,0.35476,0.27111,0.84632,0.64807,0.71143,0.63086,0.37185,1.23018,0.73141,1.10421,0.0014067,0.0014067,0.0014067
262,483.372,0.34734,0.26497,0.855,0.5299,0.50795,0.51181,0.30544,1.26064,0.85409,1.07192,0.00140481,0.00140481,0.00140481
263,485.192,0.36381,0.26694,0.86172,0.75551,0.44176,0.51983,0.2948,1.22309,0.83094,1.04791,0.00140291,0.00140291,0.00140291
264,487.038,0.37365,0.28028,0.84998,0.7797,0.41362,0.49462,0.28203,1.28992,0.89423,1.06386,0.00140101,0.00140101,0.00140101
265,488.881,0.3826,0.28105,0.8613,0.70654,0.45643,0.46305,0.2514,1.27855,0.97106,1.06341,0.0013991,0.0013991,0.0013991
266,490.737,0.35892,0.26792,0.84585,0.74647,0.45436,0.46749,0.26871,1.26838,0.92495,1.0525,0.00139718,0.00139718,0.00139718
267,492.55,0.36322,0.28255,0.86471,0.69103,0.48449,0.46769,0.29031,1.22195,0.89219,1.03724,0.00139526,0.00139526,0.00139526
268,494.392,0.37684,0.28834,0.88453,0.64879,0.5104,0.54142,0.32016,1.25258,0.89298,1.05731,0.00139334,0.00139334,0.00139334
269,496.262,0.37378,0.2909,0.86945,0.72147,0.59001,0.60729,0.33068,1.25876,0.84584,1.05914,0.0013914,0.0013914,0.0013914
270,498.116,0.35608,0.26568,0.84834,0.77813,0.60033,0.62296,0.34614,1.22244,0.77912,1.05072,0.00138947,0.00138947,0.00138947
271,499.955,0.36234,0.2731,0.86065,0.64567,0.58854,0.59551,0.336,1.21385,0.78941,1.05457,0.00138753,0.00138753,0.00138753
272,501.76,0.38743,0.28641,0.87047,0.60643,0.49256,0.50828,0.30123,1.27808,0.86089,1.10107,0.00138558,0.00138558,0.00138558
273,503.575,0.36714,0.27419,0.84294,0.69588,0.36893,0.45521,0.25806,1.36582,1.02177,1.15242,0.00138363,0.00138363,0.00138363
274,505.413,0.33866,0.25827,0.84259,0.47472,0.45639,0.41569,0.21769,1.54006,1.20831,1.24444,0.00138167,0.00138167,0.00138167
275,507.249,0.34561,0.25889,0.85113,0.60785,0.42935,0.44511,0.20439,1.57615,1.22056,1.30014,0.00137971,0.00137971,0.00137971
276,509.078,0.35559,0.26723,0.84776,0.63785,0.43373,0.50506,0.22768,1.54063,1.14566,1.30399,0.00137774,0.00137774,0.00137774
277,510.927,0.35592,0.28484,0.86508,0.55184,0.41618,0.41618,0.21208,1.51534,1.23841,1.27341,0.00137576,0.00137576,0.00137576
278,512.765,0.34154,0.26694,0.85184,0.50584,0.35776,0.41581,0.23989,1.58177,1.37127,1.31036,0.00137378,0.00137378,0.00137378
279,514.597,0.40313,0.29522,0.8755,0.5806,0.38003,0.39347,0.22878,1.55011,1.52346,1.27557,0.0013718,0.0013718,0.0013718
280,516.426,0.38541,0.28998,0.86751,0.64517,0.36539,0.43288,0.24204,1.49188,1.47729,1.24679,0.00136981,0.00136981,0.00136981
281,518.254,0.34896,0.26709,0.84707,0.59526,0.37816,0.40325,0.25157,1.34991,1.3404,1.15824,0.00136781,0.00136781,0.00136781
282,520.077,0.38852,0.28737,0.85477,0.58517,0.45767,0.44811,0.28024,1.26594,1.03505,1.09716,0.00136581,0.00136581,0.00136581
283,521.886,0.37905,0.29141,0.86624,0.64949,0.46884,0.49586,0.28918,1.22044,0.91935,1.06696,0.00136381,0.00136381,0.00136381
284,523.688,0.35834,0.27207,0.84145,0.64197,0.44929,0.48872,0.29038,1.24211,0.91587,1.07777,0.0013618,0.0013618,0.0013618
285,525.513,0.37843,0.2698,0.88534,0.6149,0.45488,0.46941,0.29472,1.27257,0.88584,1.08762,0.00135978,0.00135978,0.00135978
286,527.33,0.36135,0.27061,0.86246,0.64831,0.45664,0.44174,0.28918,1.26917,0.86737,1.08828,0.00135776,0.00135776,0.00135776
287,529.147,0.35021,0.26652,0.86699,0.54541,0.50731,0.48123,0.29982,1.26544,0.86314,1.08201,0.00135574,0.00135574,0.00135574
288,531.023,0.34418,0.25841,0.8544,0.60493,0.55386,0.52214,0.32333,1.21734,0.86241,1.04402,0.00135371,0.00135371,0.00135371
289,532.869,0.39272,0.28442,0.85837,0.60392,0.59255,0.57492,0.32947,1.26564,0.95125,1.0603,0.00135167,0.00135167,0.00135167
290,534.694,0.3367,0.25861,0.84284,0.70985,0.50588,0.58705,0.33158,1.25783,0.98525,1.04647,0.00134963,0.00134963,0.00134963
291,536.529,0.3514,0.26783,0.863,0.71809,0.50945,0.60108,0.34408,1.28212,0.92389,1.07517,0.00134758,0.00134758,0.00134758
292,538.353,0.34476,0.26376,0.84864,0.77304,0.61868,0.64575,0.38024,1.24039,0.85004,1.0746,0.00134553,0.00134553,0.00134553
293,540.203,0.33153,0.25749,0.85873,0.67027,0.66953,0.65253,0.37899,1.25278,0.85156,1.07641,0.00134348,0.00134348,0.00134348
294,542,0.32589,0.25295,0.84029,0.73151,0.62838,0.64859,0.36977,1.2589,0.87694,1.07853,0.00134142,0.00134142,0.00134142
295,543.826,0.35565,0.27023,0.8486,0.66381,0.71139,0.64288,0.36248,1.31772,0.97331,1.11321,0.00133935,0.00133935,0.00133935
296,545.628,0.3841,0.27731,0.86271,0.83271,0.65625,0.70686,0.41241,1.27275,0.86963,1.08146,0.00133728,0.00133728,0.00133728
297,547.446,0.33981,0.25479,0.85446,0.78081,0.60491,0.67122,0.38789,1.31298,0.90932,1.11817,0.00133521,0.00133521,0.00133521
298,549.265,0.38523,0.2997,0.8767,0.73932,0.53395,0.57956,0.35295,1.35145,0.98919,1.15165,0.00133312,0.00133312,0.00133312
299,551.152,0.35644,0.27128,0.85094,0.69055,0.5563,0.56706,0.34055,1.36767,1.00669,1.15223,0.00133104,0.00133104,0.00133104
300,553.013,0.40579,0.33237,0.91951,0.59029,0.57685,0.53553,0.33632,1.38772,1.02355,1.14583,0.00132895,0.00132895,0.00132895
301,555.144,0.36401,0.26882,0.85783,0.60016,0.51536,0.52928,0.3262,1.41596,1.1598,1.14828,0.00132685,0.00132685,0.00132685
302,557.029,0.36232,0.27548,0.84201,0.73557,0.40739,0.50246,0.30929,1.50726,1.34959,1.23446,0.00132476,0.00132476,0.00132476
303,558.829,0.3495,0.27243,0.85212,0.60933,0.45434,0.42583,0.24751,1.61961,1.36925,1.3407,0.00132265,0.00132265,0.00132265
304,560.648,0.37727,0.27748,0.8736,0.67641,0.45092,0.46603,0.27128,1.72982,1.37634,1.42198,0.00132054,0.00132054,0.00132054
305,562.458,0.36623,0.27853,0.86015,0.64265,0.50496,0.50388,0.30643,1.53031,1.1162,1.28945,0.00131843,0.00131843,0.00131843
306,564.285,0.32725,0.25168,0.84113,0.72187,0.50494,0.52823,0.352,1.48651,1.06362,1.24305,0.00131631,0.00131631,0.00131631
307,566.082,0.33539,0.26208,0.83072,0.78869,0.48368,0.521,0.31695,1.44636,1.2135,1.18339,0.00131419,0.00131419,0.00131419
308,567.884,0.34604,0.26403,0.86231,0.73873,0.33951,0.47123,0.2823,1.48972,1.42958,1.20471,0.00131206,0.00131206,0.00131206
309,569.692,0.37508,0.28032,0.87508,0.79178,0.29136,0.4243,0.29624,1.37241,1.34613,1.13543,0.00130993,0.00130993,0.00130993
310,571.522,0.32802,0.25864,0.84633,0.65652,0.47658,0.50916,0.34884,1.34339,1.18409,1.13285,0.00130779,0.00130779,0.00130779
311,573.38,0.32926,0.26773,0.84794,0.64906,0.50307,0.52789,0.35052,1.30033,0.98477,1.10612,0.00130565,0.00130565,0.00130565
312,575.251,0.34247,0.26685,0.85785,0.61567,0.5162,0.52597,0.32891,1.31432,0.8791,1.12115,0.0013035,0.0013035,0.0013035
313,577.086,0.34534,0.26894,0.84985,0.61811,0.55647,0.5027,0.27664,1.39147,0.92992,1.16158,0.00130135,0.00130135,0.00130135
314,578.927,0.32886,0.2477,0.84866,0.56485,0.54485,0.46127,0.26699,1.47944,1.11468,1.19074,0.00129919,0.00129919,0.00129919
315,580.758,0.37755,0.28489,0.86546,0.62548,0.49872,0.4836,0.22156,1.72312,1.40897,1.33903,0.00129703,0.00129703,0.00129703
316,582.621,0.33347,0.25803,0.84427,0.53767,0.46002,0.38913,0.19044,1.87175,1.67373,1.40327,0.00129487,0.00129487,0.00129487
317,584.451,0.34919,0.26811,0.85776,0.46635,0.40339,0.35067,0.16843,1.89915,1.90025,1.40917,0.0012927,0.0012927,0.0012927
318,586.253,0.31575,0.25111,0.8353,0.76625,0.35006,0.435,0.21303,1.73437,1.83241,1.31567,0.00129053,0.00129053,0.00129053
319,588.056,0.33304,0.25935,0.85341,0.59469,0.49828,0.49947,0.26942,1.6058,1.50221,1.27517,0.00128835,0.00128835,0.00128835
320,589.876,0.37253,0.33742,0.90667,0.63687,0.57941,0.53978,0.29822,1.5911,1.34674,1.27696,0.00128617,0.00128617,0.00128617
321,591.707,0.35081,0.26444,0.85281,0.6184,0.54792,0.51309,0.29171,1.69868,1.3146,1.33515,0.00128398,0.00128398,0.00128398
322,593.55,0.33686,0.26403,0.84736,0.6983,0.50967,0.50414,0.28649,1.77817,1.32921,1.38967,0.00128179,0.00128179,0.00128179
323,595.405,0.33104,0.25648,0.8442,0.6478,0.47379,0.51796,0.28268,1.65946,1.19518,1.29418,0.00127959,0.00127959,0.00127959
324,597.221,0.30462,0.23758,0.84293,0.6978,0.43812,0.50287,0.27915,1.59239,1.16251,1.25978,0.00127739,0.00127739,0.00127739
325,599.067,0.38221,0.27594,0.84968,0.57051,0.58448,0.53222,0.29291,1.44283,1.02733,1.18259,0.00127519,0.00127519,0.00127519
326,600.913,0.31494,0.25002,0.84623,0.72147,0.49874,0.5351,0.28766,1.4745,1.06779,1.21856,0.00127298,0.00127298,0.00127298
327,602.739,0.33257,0.25598,0.83327,0.64886,0.60566,0.59713,0.32072,1.43424,0.98151,1.21379,0.00127077,0.00127077,0.00127077
328,604.568,0.3305,0.26242,0.86374,0.5748,0.61775,0.57679,0.31716,1.39758,0.94281,1.19342,0.00126855,0.00126855,0.00126855
329,606.365,0.35373,0.26259,0.83992,0.60006,0.6111,0.57957,0.31308,1.36317,0.95117,1.16395,0.00126633,0.00126633,0.00126633
330,608.196,0.44026,0.3219,0.89762,0.69772,0.61438,0.62843,0.32447,1.3901,0.98362,1.14487,0.00126411,0.00126411,0.00126411
331,610.011,0.322,0.2538,0.84336,0.65184,0.60762,0.58329,0.30837,1.39702,1.00667,1.15181,0.00126188,0.00126188,0.00126188
332,611.869,0.30467,0.2339,0.83804,0.66213,0.6044,0.59133,0.3083,1.38844,0.9919,1.14966,0.00125964,0.00125964,0.00125964
333,613.701,0.3343,0.25643,0.84171,0.63996,0.60989,0.58101,0.32764,1.40762,0.99974,1.15716,0.00125741,0.00125741,0.00125741
334,615.51,0.3136,0.25183,0.85998,0.77186,0.50204,0.58452,0.3346,1.39876,0.95891,1.16855,0.00125517,0.00125517,0.00125517
335,617.375,0.31821,0.24591,0.84861,0.65492,0.5928,0.56254,0.30983,1.36744,0.92701,1.14732,0.00125292,0.00125292,0.00125292
336,619.246,0.31086,0.24822,0.83595,0.71864,0.52725,0.5733,0.33216,1.31608,0.90934,1.11669,0.00125067,0.00125067,0.00125067
337,621.075,0.32676,0.24905,0.84452,0.67386,0.56227,0.5391,0.31858,1.36144,1.09815,1.14173,0.00124842,0.00124842,0.00124842
338,622.881,0.34769,0.29115,0.89071,0.66303,0.48612,0.47713,0.28289,1.44459,1.18368,1.18221,0.00124616,0.00124616,0.00124616
339,624.697,0.37799,0.30259,0.87179,0.66266,0.51905,0.52394,0.30889,1.41762,0.92137,1.17812,0.0012439,0.0012439,0.0012439
340,626.489,0.33635,0.26614,0.84457,0.7429,0.42974,0.51342,0.33283,1.31575,0.79681,1.13035,0.00124163,0.00124163,0.00124163
341,628.443,0.29846,0.23787,0.82788,0.8253,0.46247,0.53093,0.35057,1.20536,0.70704,1.04787,0.00123936,0.00123936,0.00123936
342,630.293,0.31107,0.24424,0.85056,0.52996,0.64289,0.58924,0.35635,1.18231,0.69027,1.03024,0.00123709,0.00123709,0.00123709
343,632.201,0.37521,0.27701,0.85228,0.52933,0.54528,0.55259,0.33597,1.24308,0.76302,1.0908,0.00123481,0.00123481,0.00123481
344,634.073,0.32685,0.2565,0.8416,0.75988,0.33047,0.43029,0.279,1.38349,1.00969,1.1674,0.00123253,0.00123253,0.00123253
345,635.906,0.3584,0.26398,0.86361,0.74823,0.33728,0.42764,0.27831,1.42002,1.06482,1.17665,0.00123024,0.00123024,0.00123024
346,637.746,0.31474,0.24876,0.85565,0.53243,0.48506,0.48226,0.3327,1.29866,0.83733,1.10839,0.00122795,0.00122795,0.00122795
347,639.633,0.32857,0.25755,0.85737,0.6424,0.52965,0.5389,0.37411,1.23497,0.75033,1.05659,0.00122566,0.00122566,0.00122566
348,641.492,0.32573,0.26079,0.85384,0.76372,0.51848,0.57053,0.37584,1.17831,0.70618,1.04457,0.00122336,0.00122336,0.00122336
349,643.325,0.35201,0.26126,0.85749,0.7662,0.60099,0.58951,0.37501,1.23859,0.72907,1.07351,0.00122106,0.00122106,0.00122106
350,645.162,0.4013,0.29295,0.88146,0.77085,0.59427,0.60015,0.36922,1.23765,0.75113,1.06891,0.00121876,0.00121876,0.00121876
351,646.989,0.32391,0.25449,0.85151,0.82872,0.58982,0.60331,0.37712,1.25929,0.75809,1.08299,0.00121645,0.00121645,0.00121645
352,648.828,0.3227,0.24096,0.84065,0.84885,0.57306,0.60384,0.39724,1.23019,0.77638,1.07665,0.00121414,0.00121414,0.00121414
353,650.711,0.32282,0.24434,0.85145,0.82478,0.56321,0.60133,0.39202,1.22348,0.83613,1.08242,0.00121183,0.00121183,0.00121183
354,652.53,0.30616,0.24789,0.84787,0.81454,0.60034,0.63583,0.38632,1.23495,0.88075,1.08078,0.00120951,0.00120951,0.00120951
355,654.339,0.30832,0.2421,0.8381,0.84177,0.582,0.60873,0.38223,1.26831,0.98139,1.0937,0.00120718,0.00120718,0.00120718
356,656.44,0.34761,0.27154,0.87284,0.84776,0.55821,0.59985,0.37451,1.37395,1.1415,1.14089,0.00120486,0.00120486,0.00120486
357,658.289,0.3238,0.2479,0.84961,0.80166,0.5752,0.60922,0.36539,1.41311,1.11997,1.1676,0.00120253,0.00120253,0.00120253
358,660.145,0.30821,0.26284,0.83648,0.6467,0.6199,0.60867,0.37452,1.35487,1.01649,1.12089,0.00120019,0.00120019,0.00120019
